 09 Nov 2013 11:01:29,328 | main |  |  | SERV_352648560413 | Metric | Start|1384012889313|Stop|1384012889328|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,485 | main |  |  | SERV_352648560413 | Metric | Start|1384012889453|Stop|1384012889485|Duration|32|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,500 | main |  |  | SERV_352648560413 | Metric | Start|1384012889485|Stop|1384012889500|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,656 | main |  |  | SERV_352648560413 | Metric | Start|1384012889641|Stop|1384012889656|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,656 | main |  |  | SERV_352648560413 | Metric | Start|1384012889656|Stop|1384012889656|Duration|0|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,797 | main |  |  | SERV_352648560413 | Metric | Start|1384012889781|Stop|1384012889797|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:29,844 | main |  |  | SERV_352648560413 | Metric | Start|1384012889828|Stop|1384012889844|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,110 | main |  |  | SERV_352648560413 | Metric | Start|1384012890094|Stop|1384012890110|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,141 | main |  |  | SERV_352648560413 | Metric | Start|1384012890141|Stop|1384012890141|Duration|0|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,313 | main |  |  | SERV_352648560413 | Metric | Start|1384012890281|Stop|1384012890313|Duration|32|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,344 | main |  |  | SERV_352648560413 | Metric | Start|1384012890328|Stop|1384012890344|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,500 | main |  |  | SERV_352648560413 | Metric | Start|1384012890485|Stop|1384012890500|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,531 | main |  |  | SERV_352648560413 | Metric | Start|1384012890531|Stop|1384012890531|Duration|0|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,688 | main |  |  | SERV_352648560413 | Metric | Start|1384012890672|Stop|1384012890688|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,844 | main |  |  | SERV_352648560413 | Metric | Start|1384012890828|Stop|1384012890844|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:30,985 | main |  |  | SERV_352648560413 | Metric | Start|1384012890985|Stop|1384012890985|Duration|0|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:31,125 | main |  |  | SERV_352648560413 | Metric | Start|1384012891110|Stop|1384012891125|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:31,453 | main |  |  | SERV_352648560413 | Metric | Start|1384012891438|Stop|1384012891453|Duration|15|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:01:31,672 | main |  |  | SERV_352648560413 | Metric | Start|1384012891656|Stop|1384012891672|Duration|16|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 09 Nov 2013 11:07:21,134 | main |  |  | SERV_352648908484 | Metric | Start|1384013241134|Stop|1384013241134|Duration|0|Servlet File Upload: class com.mckesson.eig.common.filetransfer.services.BaseFileUploader
 
